epochs,embed_dim,model,test_word,similar_word,similarity_score
3,600,CBOW,queen,fechtel,0.3808
3,600,CBOW,man,woman,0.7509
3,600,CBOW,man,teenager,0.6161
3,600,CBOW,man,person,0.5882
3,600,CBOW,man,boy,0.5406
3,600,CBOW,man,men,0.5109
3,600,CBOW,woman,man,0.7509
3,600,CBOW,woman,teenager,0.68
3,600,CBOW,woman,girl,0.6659
3,600,CBOW,woman,person,0.5818
3,600,CBOW,woman,womans,0.5454
3,600,CBOW,computer,computers,0.6806
3,600,CBOW,computer,laptop,0.5229
3,600,CBOW,computer,software,0.4962
3,600,CBOW,computer,malware,0.4423
3,600,CBOW,computer,servers,0.4414
3,600,CBOW,science,mathematics,0.5395
3,600,CBOW,science,physics,0.5129
3,600,CBOW,science,scientist,0.5037
3,600,CBOW,science,sciences,0.5011
3,600,CBOW,science,neuroscience,0.4829
3,600,CBOW,university,universitys,0.7693
3,600,CBOW,university,sociology,0.5541
3,600,CBOW,university,universityled,0.5468
3,600,CBOW,university,mit,0.4923
3,600,CBOW,university,graduate,0.4885
3,600,CBOW,student,students,0.5768
3,600,CBOW,student,undergraduates,0.5222
3,600,CBOW,student,graduate,0.49
3,600,CBOW,student,undergraduate,0.4716
3,600,CBOW,student,classmate,0.47
